Date,Open,High,Low,Close,Adj Close,Volume
2017-12-15,265.450012,267.040009,265.390015,266.51001,240.281784,144610300
2017-12-18,268.100006,268.600006,267.980011,268.200012,241.805435,83653600
2017-12-19,268.480011,268.529999,267.089996,267.170013,240.876862,82382900
2017-12-20,268.269989,268.329987,266.690002,267.029999,240.75058,76751500
2017-12-21,267.73999,268.390015,267.299988,267.579987,241.246445,67032300
2017-12-22,267.600006,267.640015,266.899994,267.51001,241.183365,78720900
2017-12-26,267.049988,267.440002,266.890015,267.190002,240.894897,45244400
2017-12-27,267.380005,267.730011,267.01001,267.320007,241.012039,57751000
2017-12-28,267.890015,267.920013,267.450012,267.869995,241.50795,45116100
2017-12-29,268.529999,268.549988,266.640015,266.859985,240.597305,96007400
2018-01-02,267.839996,268.809998,267.399994,268.769989,242.319366,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,243.852066,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,244.879852,80636400
2018-01-05,272.51001,273.559998,271.950012,273.420013,246.511765,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,246.96254,57319200
2018-01-09,274.399994,275.25,274.079987,274.540009,247.521423,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,247.142807,69574300
2018-01-11,274.75,276.119995,274.559998,276.119995,248.94606,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,250.568954,90816100
2018-01-16,279.350006,280.089996,276.179993,276.970001,249.712372,106555100
2018-01-17,278.029999,280.049988,276.970001,279.609985,252.092621,113258800
2018-01-18,279.480011,279.959991,278.579987,279.140015,251.668839,100728000
2018-01-19,279.799988,280.410004,279.140015,280.410004,252.813812,140920100
2018-01-22,280.170013,282.690002,280.109985,282.690002,254.869431,91322400
2018-01-23,282.73999,283.619995,282.369995,283.290009,255.410431,97084700
2018-01-24,284.019989,284.700012,281.839996,283.179993,255.311157,134816100
2018-01-25,284.160004,284.269989,282.399994,283.299988,255.419403,84587300
2018-01-26,284.25,286.630005,283.959991,286.579987,258.376587,107743100
2018-01-29,285.929993,286.429993,284.5,284.679993,256.663574,90118300
2018-01-30,282.600006,284.73999,281.220001,281.76001,254.03096,131796400
2018-01-31,282.730011,283.299988,280.679993,281.899994,254.157211,108364800
2018-02-01,281.070007,283.059998,280.679993,281.579987,253.868729,90102500
